dcb dgfceab cbfdeg edcf
cgbedaf gdfe gecfb cfd
gdcaef ebg beg daeb
ecbafg bfgac gcbfa cbgfde
fecga edagbc gf bdefagc
db cedgbf aecfgd debf
fbgcae afcdebg edfab eg
abgec cbage facdgb dc
cad ebgdcaf cage eafdc
dbafgce afd fa caedfg
egdaf cdfa decgaf cdaf
fgcab fbdgce bgacf agbfcde
cebg adgcbf bcdga agbcd
adge gaed gca ecbdg
gfed cefgbda ebdgc gcbdf
fdeag febcda cedg cafdbe
adebg ecfda afg fg
feabcdg bdcefg gbfacde edgfac
ecgbda ebcgd daceg cedgb
bgeadf fgebda gcdafe abcde
dgbcef fdcbe gafcdb gbfdec
edgaf fcdg dbfcea bcefdga
fbe feb bedcgfa fdbce
egadc eb fcadeb bcedaf
gbadcef afcbegd acgef dfgbea
bg fbdg cbg bacgfe
febdc fgedcab bcdae fdcbe
efdcgab gabefd dcgbe gdecb
edfc afbdcg abfegc fdbeg
dgfcae dgebf bcadge fd
afeb dfgba agebcd dbeagc
cbegd bafdg bdega gbadf
acd da fcbgea gdceb
ga fcbadge fdebgac egacf
efgbc dc gcd gcebad
fgad edbcaf fcadeg ceagb
gcadfe cfdbe cgaebd beafcg
aebdfgc eb bdec cbaef
dce deacbf dbaec dcbf
dabgc ceb cafe bfdea
bce be gdfcb eb
aef fdgab fgcabed dabgcfe
bacfge egcabf gafdb dacgfe
egb bace fedgc facdegb
gdfeabc febagc fa afce
bcfgaed edcbgf dga dacgeb
gefbc dgfaec cgfeb db
bcfed ae dgfecba dgcfae
be efbc afbgdc begdac
fecbd cbfeag efabg gbdeaf
dbfgc efad fead bgdcaef
dgabc fb dfb bf
gecdb ace aec ae
abgfdec bgafc badefcg ebc
fedgba dfcabe cegab ecagb
fa gaf fead fgecd
gbcea acbdef caebgf efdgcab
becaf dgac becaf egcdfa
afegb efbdca cdfbea bdegcf
bc cb fgdba bcf
dca bcadf bdgfca adfecg
cbf gfdec fbc acfdeg
aecgdfb bd cgaed dbe
fagbce dcegaf afecbg cegbfa
egbfcd fegcbd egdba aedgc
febdcag cgdfb agb gdcab
cbdfea fbda edf fed
gbfeac ebagf bdacge gbecad
beg becf gcbaf bafgc
agbdfe ebagd dce bgdc
dcfeabg cfgad gefad gfbaed
ce face ce ecd
efacd fgc cedaf agdcf
ab cfegbd ebdgac bcfegd
fabgc fgdae egfad eb
dcbg afgdcb dcbafe dabgf
daf dgfb fdgb aebcd
ecgf cae faedc edbgcaf
cfdbgae bcgfda de bfadg
fbcad dfbacge baedgfc feagdbc
cga efdgc gaecdf bcgfea
ab bdcge aecfd aeb
dbafc bf fbacd bfacd
cdgbf cf fadbg dfc
fecdagb agdcbf bgcedf cfebgd
ed ed gdce gdfeba
gacfd gcadf gbfdc gcdaf
geafb cdgaf ed fde
dfge gae egdba agcdb
cgeaf cgfae bec gdcaeb
gaefc cdebafg ad gcafe
cadbfg fec fedcagb bacfgd
edabgf gedc cfdega dca
fc cf gcbea cef
edfcagb cfdab fedcgb acfbd
fgeabdc eacbd da ad
eadgcbf gfcda fbadec fagdc
dgafebc dcgbaf gdebc cebdg
bgeda dgbea bfcdag fecg
acbdgef dcefb dbfaec fadgb
fadecbg cd cd fbadc
ed baegfcd dfgcb dgbcf
cfg abgfc cfbga fc
gfec egcdb fceg ecfg
ga egba gdafbec cafeg
egfcb begfacd gab cfbaegd
bdefc cegb fbedg eg
acbgde gc gc ecbgd
dgeac cagbef cdgfeba dfegb
ecfdb fgeb fg gf
aefbd fdceg dcb efgcbd
acedgfb cdfbe gcdfa fbcad dab cefabd cdfgeb eafb cagedb ab | cdfeb fcadb cdfeb cdbaf
